Last Name,First Name,Middle Name,Suffix,Sex/Gender,Age,Birthdate,Years of Residency,Unit/Blk/Street,Purok,Brgy,Municipality,Province,Region
Atkinson,Samuel,Renee,,Female,69,1956-12-23,40,8285H 80th Avenue,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Fowler,Brian,Brandon,Jr.,Male,69,1956-06-29,15,322 Sapphire Road,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Roberts,Eric,Jesse,,Male,72,1953-09-13,39,9282 Aquarius Street,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Roberts,Daniel,David,,Male,47,1978-04-03,25,3768 Singh Road,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Oliver,Donald,Megan,,Female,89,1936-03-24,43,3567 Cross Street,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Leblanc,William,Cody,,Female,70,1955-08-17,3,4905 Unit E Medina Road,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Santos,David,Joanne,Jr.,Male,83,1942-07-05,14,1864 Pao Street,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Edwards,Emily,Ashley,Jr.,Male,58,1967-04-13,18,7347 Baticulin Street,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Sanford,Rachel,Katherine,Jr.,Male,85,1940-05-10,9,398-D Libra Drive,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Spencer,Michelle,Deborah,,Female,45,1980-05-04,18,3375 Hibok-Hibok Road,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Bautista,Alan,Stacy,Sr.,Female,73,1952-07-23,4,4404-A Massey Drive,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Nelson,Michael,James,,Male,38,1987-01-25,10,2709 Apo Road,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Roberson,Cheryl,Alicia,,Female,24,2001-09-08,4,7236 Mercury Street,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Lee,Dawn,Kelly,III,Female,77,1948-04-16,36,930 Freeman Drive,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Griffin,Robyn,Keith,,Male,61,1964-09-30,24,8265-A 7th Street,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Singh,Julie,Jonathan,,Female,44,1981-07-04,3,9253-J 84th Street,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Wilson,Paige,Matthew,,Female,82,1943-11-08,14,1819 Lapis Lazuli Avenue,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Love,Kenneth,Ralph,Sr.,Female,89,1936-06-22,4,5895 Jones Highway,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Woods,Greg,Nicole,Jr.,Male,79,1946-03-22,42,7313 Milflower Street,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Rogers,Megan,Susan,Sr.,Male,78,1947-08-22,29,4547-J Pisces Avenue,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Ross,Leah,Robert,,Male,76,1949-06-02,38,874 Amber Drive,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Jones,Thomas,Gabrielle,Jr.,Male,54,1971-01-31,36,6411 G Saturn Road,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Morton,Joseph,Mark,III,Male,37,1988-07-07,4,4558J Pinatubo Street,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Thompson,Joseph,Allison,,Male,20,2005-06-28,2,4488 Unit E 58th Street,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Compton,Monique,Kevin,,Female,79,1946-04-04,14,8135A Kalamansi Avenue,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Smith,Thomas,Susan,,Female,85,1940-01-05,10,5974 J Calumpang Avenue,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Bowen,Scott,Robert,III,Female,45,1980-12-10,12,8628 Kanlaon Street,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Newton,Jessica,Eric,,Male,53,1972-12-20,3,8099 Unit H Davis Road,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Barr,Christopher,Briana,,Female,80,1945-02-27,51,9653F Mercury Drive Extension,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Montgomery,Rachel,Benjamin,,Male,77,1948-10-22,59,5200 Arayat Road,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Mcgee,Natalie,Sean,,Male,89,1936-07-19,40,4854 Sardonyx Street,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
